sentences	labels
Die Form des Bristol 400 war etwas anders als das Autenrieth-Design, folgte aber weitgehend dieser Vorlage.	<arg1> Bristol 400 </arg1> <rel> Vorlage </rel> <arg2> 400 </arg2>
Johnny Flash ist ein Film des deutschen Experimental-Filmers Werner Nekes, der 1987 in die Kinos kam.	<arg1> Johnny Flash </arg1> <rel> per </rel> <arg2> Werner Nekes </arg2>
Der Aston Martin DBS mit dem Sechszylindermotor ist ein unterbewerteter Klassiker.	<arg1> Aston Martin DBS </arg1> <rel> Klassiker </rel> <arg2> DBS </arg2>
Das Dekanat Würzburg rechts des Mains ist eines von 20 Dekanaten im römisch-katholischen Bistum Würzburg.	<arg1> Dekanat Würzburg rechts des Mains </arg1> <rel> Bistum </rel> <arg2> Bistum Würzburg </arg2>
Die Ortsgemeinde Höringen verfügt seit 1994 über den Bürgerladen, in dem man Artikel des täglichen Bedarfs sowie frische Back- und Wurstwaren käuflich erwerben kann.	<arg1> Höringen </arg1> <rel> Art </rel> <arg2> Ortsgemeinde </arg2>
Gimme More (engl. für: „Gib mir mehr“) ist ein Lied der US-amerikanischen Pop-Sängerin Britney Spears aus ihrem fünften Studioalbum Blackout, das vom US-amerikanischen Hip-Hop- und R-’n’-B-Musiker und Produzenten Danja produziert wurde.	<arg1> Gimme More </arg1> <rel> Musiker </rel> <arg2> Britney Spears </arg2>
Gimme More (engl. für: „Gib mir mehr“) ist ein Lied der US-amerikanischen Pop-Sängerin Britney Spears aus ihrem fünften Studioalbum Blackout, das vom US-amerikanischen Hip-Hop- und R-’n’-B-Musiker und Produzenten Danja produziert wurde.	<arg1> Gimme More </arg1> <rel> Musik </rel> <arg2> Danja </arg2>
Über drei Ableitungsbauwerke kann zusätzlich zum Abfluss der Oder Wasser aus dem nördlich gelegenen Sperrlutter- und Breitenbeektal in die Odertalsperre übergeleitet werden.	<arg1> Odertalsperre </arg1> <rel> Abfluss </rel> <arg2> Oder </arg2>
Olin Browne (* 22. Mai 1959 in Washington, D.C.) ist ein US-amerikanischer Profigolfer der Champions Tour und väterlicherseits chilenischer Abstammung.	<arg1> Olin Browne </arg1> <rel> Tour </rel> <arg2> Champions Tour </arg2>
In den Versionen 7.02 und 7.03, die wieder DR-DOS hießen (jedoch mit Bindestrich geschrieben), wurden neben vielen anderen Erweiterungen auch diese Updates wieder integriert bzw. neu implementiert.	<arg1> DR-DOS </arg1> <rel> Version </rel> <arg2> 7.03 </arg2>
Am 16. April 2020 wurde seitens der Veranstalter Music Eggert bekanntgegeben, dass die geplante 19. Ausgabe des Airbeat One Festivals, ursprünglich geplant vom 8. bis 12. Juli 2020 aufgrund der Ausbreitung der COVID-19 Pandemie abgesagt wird.	<arg1> Airbeat One </arg1> <rel> Veranstalter </rel> <arg2> Music Eggert </arg2>
David McCants (* 20. August 1987 in Northport, Alabama) ist ein ehemaliger US-amerikanischer American-Football-Spieler.	<arg1> David McCants </arg1> <rel> Spiel </rel> <arg2> 2 </arg2>
Langenfeld (Rheinland) ist eine mittlere kreisangehörige Stadt im Kreis Mettmann (Regierungsbezirk Düsseldorf, Nordrhein-Westfalen, Deutschland).	<arg1> Langenfeld (Rheinland) </arg1> <rel> Regierungsbezirk </rel> <arg2> Düsseldorf </arg2>
Langenfeld (Rheinland) ist eine mittlere kreisangehörige Stadt im Kreis Mettmann (Regierungsbezirk Düsseldorf, Nordrhein-Westfalen, Deutschland).	<arg1> Langenfeld (Rheinland) </arg1> <rel> Kreis </rel> <arg2> Mettmann </arg2>
Die WestLB AG betrieb in der Rechtsform der Aktiengesellschaft und unter Wegfall der Gewährträgerhaftung und Anstaltslast das so genannte Wettbewerbsgeschäft als Geschäftsbank und als Zentralbank der rheinischen und der westfälischen Sparkassen.	<arg1> WestLB </arg1> <rel> Rechtsform </rel> <arg2> AG </arg2>
Die UNRWA – Foto- und Filmarchive der palästinensischen Flüchtlinge wurden (ohne Zuordnung zu einem Staat) 2009 als Weltdokumentenerbe eingetragen.	<arg1> UNRWA – Foto- und Filmarchive der palästinensischen Flüchtlinge </arg1> <rel> Foto </rel> <arg2> 2009 </arg2>
Am 3. Mai 1945 besetzten britischen Truppen auch Glinde, das benachbarte Reinbek sowie den letzten Teil des noch unbesetzten Stormarns.	<arg1> Glinde </arg1> <rel> Trupp </rel> <arg2> Stormarn </arg2>
Die Opština Opovo () ist die kleinste Opština (Großgemeinde) im Okrug Južni Banat der Vojvodina, Serbien.	<arg1> Opština Opovo </arg1> <rel> Okrug </rel> <arg2> Okrug Južni Banat </arg2>
Sigfús Sigurðsson war einer der Publikumslieblinge in Magdeburg und zeichnete sich durch ein gutes Abwehrspiel aus.	<arg1> Sigfús Sigurðsson </arg1> <rel> um </rel> <arg2> aus </arg2>
Die Internationale Gesellschaft zur Erforschung und Förderung der Blasmusik (IGEB) ging aus der 1966 ins Leben gerufenen Kommission zur Erforschung des Blasmusikwesens hervor und wurde 1974 im Rahmen eines wissenschaftlichen Kongresses zur Erforschung der Blasmusik an der Hochschule für Musik und darstellende Kunst Graz gegründet.	<arg1> Internationale Gesellschaft zur Erforschung und Förderung der Blasmusik </arg1> <rel> Leben </rel> <arg2> Erforschung und Förderung der Blasmusik </arg2>
Im Jahr 1940 wurde die Bank auf ihren heutigen Namen und die heutige Rechtsform umfirmiert: Volksbank Göppingen eG. Seit dem Anfang der 1970er Jahre wuchs die Bank durch den Zusammenschluss mit einer Vielzahl von benachbarten Genossenschaftsbanken.	<arg1> Volksbank Göppingen </arg1> <rel> Name </rel> <arg2> Volksbank Göppingen eG </arg2>
Im Jahr 1940 wurde die Bank auf ihren heutigen Namen und die heutige Rechtsform umfirmiert: Volksbank Göppingen eG. Seit dem Anfang der 1970er Jahre wuchs die Bank durch den Zusammenschluss mit einer Vielzahl von benachbarten Genossenschaftsbanken.	<arg1> Volksbank Göppingen </arg1> <rel> Rechtsform </rel> <arg2> eG </arg2>
Bei dem Unbihexium-Isotop Ubh-310 wird eine im Vergleich zu benachbarten Nukliden überdurchschnittlich lange Halbwertszeit erwartet, weil nicht nur seine Protonenzahl 126, sondern auch seine Neutronenzahl 184 „magisch“ ist.	<arg1> Unbihexium </arg1> <rel> Protonenzahl </rel> <arg2> 126 </arg2>
Allerdings hatte ihr Konstrukteur Louis Béchereau bei der SPAD S.XIII diverse Verbesserungen ausgearbeitet, wie z. B. die leicht vergrößerte Spannweite, vergrößerte Querruder und den aerodynamisch verbesserten Rumpf.	<arg1> SPAD S.XIII </arg1> <rel> Konstrukteur </rel> <arg2> Louis Béchereau </arg2>
1935 bestand Mazsalaca dann aus 300 privaten Grundstücken (3 gemauerte Häuser und 183 aus Holz), Gymnasium, Grundschule, Apotheke sowie einigen anderen öffentlichen Gebäuden.	<arg1> Mazsalaca </arg1> <rel> Grundstück </rel> <arg2> 3 </arg2>
Das klassizistische Kultur- und Kongresszentrum Kaisersaal gehört als Stätte von Napoleons Erfurter Fürstenkongress 1808 und des Erfurter Parteitages der SPD 1891, mit zu den historisch bedeutsamsten Gebäuden.	<arg1> Erfurt </arg1> <rel> Partei </rel> <arg2> SPD </arg2>
Seit dem Tod des Firmengründers Jacques Servier im Jahr 2014 ist das Unternehmen in eine Stiftung überführt worden und wird von einem Stiftungsrat unter der Leitung von Olivier Laureau geführt.	<arg1> Servier </arg1> <rel> Leitung </rel> <arg2> Olivier Laureau </arg2>
Diese Gebiete bezeichnet man zusammenfassend auch als Països Catalans („Katalanische Länder“).	<arg1> Katalanisch </arg1> <rel> Länder </rel> <arg2>   </arg2>
Diese Gebiete bezeichnet man zusammenfassend auch als Països Catalans („Katalanische Länder“).	<arg1> Katalanisch </arg1> <rel> Länder </rel> <arg2>   </arg2>
Diese Gebiete bezeichnet man zusammenfassend auch als Països Catalans („Katalanische Länder“).	<arg1> Katalanisch </arg1> <rel> Länder </rel> <arg2>   </arg2>
Diese Gebiete bezeichnet man zusammenfassend auch als Països Catalans („Katalanische Länder“).	<arg1> Katalanisch </arg1> <rel> Länder </rel> <arg2>  </arg2>
1990 erhielt Kružberk einschließlich des Ortsteiles Staré Lublice seine Selbständigkeit zurück.	<arg1> Kružberk </arg1> <rel> Ortsteile </rel> <arg2> 1 </arg2>
Der Lausitzring, bekannt auch als EuroSpeedway Lausitz, ist eine Motorsport-Anlage im südlichen Teil der Niederlausitz, im Ortsteil Klettwitz (Teststrecke auch Ortsteile Meuro, Schipkau und Hörlitz) der Gemeinde Schipkau im Landkreis Oberspreewald-Lausitz in Brandenburg; etwa 115 Kilometer südsüdöstlich von Berlin, 40 km südwestlich von Cottbus und 55 km nördlich von Dresden.	<arg1> Lausitzring </arg1> <rel> Anlage </rel> <arg2> EuroSpeedway Lausitz </arg2>
Der Lausitzring, bekannt auch als EuroSpeedway Lausitz, ist eine Motorsport-Anlage im südlichen Teil der Niederlausitz, im Ortsteil Klettwitz (Teststrecke auch Ortsteile Meuro, Schipkau und Hörlitz) der Gemeinde Schipkau im Landkreis Oberspreewald-Lausitz in Brandenburg; etwa 115 Kilometer südsüdöstlich von Berlin, 40 km südwestlich von Cottbus und 55 km nördlich von Dresden.	<arg1> Lausitzring </arg1> <rel> Ort </rel> <arg2> Klettwitz </arg2>
Am 2. Dezember 1945 übernahm der wiedergegründete Naturfreunde-Ortsverein Schwäbisch Hall erneut das Haus, zunächst zur Pacht, ab dem 18. November 1950 wieder als Eigentümer, nachdem zu Pfingsten 1949 am Lemberghaus der Landesjugendtag der Naturfreunde mit 3000 Teilnehmern gefeiert worden war.	<arg1> Lemberghaus </arg1> <rel> Eigentümer </rel> <arg2> Naturfreunde </arg2>
Der Fechter von Ravenna ist ein überwiegend in Blankversen geschriebenes fünfaktiges Trauerspiel des österreichischen Dichters Friedrich Halm.	<arg1> Der Fechter von Ravenna </arg1> <rel> Dichter </rel> <arg2> Friedrich Halm </arg2>
Thoriumnitrat ist ein Bestandteil von Thorium-X, einer Mischung verschiedener radioaktiver Isotope, welche früher unter anderem für die Erzeugung der damals für besonders gesund gehaltenen Zahnpasta Doramad, welche jedoch nach den Atombombenabwürfen auf Hiroshima und Nagasaki wegen der seitdem offenkundlichen Schädlichkeit von Radioaktivität vom Markt genommen wurde.	<arg1> Thoriumnitrat </arg1> <rel> Radioaktiv </rel> <arg2> da </arg2>
Zur Landgemeinde Nadarzyn gehören insgesamt 18 Dörfer von denen sind die folgenden 15 Schulzenämter Kajetany, Krakowiany, Młochów, Nadarzyn I, Nadarzyn II, Parole, Rozalin, Rusiec, Stara Wieś, Strzeniówka, Szamoty, Urzut, Walendów, Wola Krakowiańska, Wolica.	<arg1> Nadarzyn </arg1> <rel> Schulzenämter </rel> <arg2> 15 </arg2>
Am Ende des Spieljahres, als es die Union erstmals seit Jahren wieder an den saisonabschließenden Play-offs teilnahm, dort jedoch bereits in der K.-o.-Runde ausschied, wurde Andre Blake, der bereits vor seinem Wechsel in die Vereinigten Staaten in seiner Heimat des Öfteren als gegenwärtig bester Fußballtorhüter Jamaikas bezeichnet wurde, zum MLS Goalkeeper of the Year, sowie in die MLS Best XI gewählt.	<arg1> Andre Blake </arg1> <rel> Heimat </rel> <arg2> Jamaika </arg2>
Der Mitsubishi Eclipse wurde von Anfang 1990 bis Ende 2012 für den US-amerikanischen Markt im Werk in Normal (Illinois) produziert.	<arg1> Mitsubishi Eclipse </arg1> <rel> Normal </rel> <arg2> Eclipse </arg2>
Der Mitsubishi Eclipse wurde von Anfang 1990 bis Ende 2012 für den US-amerikanischen Markt im Werk in Normal (Illinois) produziert.	<arg1> Mitsubishi Eclipse </arg1> <rel> von </rel> <arg2> 1990 </arg2>
Der Mitsubishi Eclipse wurde von Anfang 1990 bis Ende 2012 für den US-amerikanischen Markt im Werk in Normal (Illinois) produziert.	<arg1> Mitsubishi Eclipse </arg1> <rel> bis </rel> <arg2> 2012 </arg2>
Die Consolidated PB2Y „Coronado“ war ein viermotoriger Seefernaufklärer des US-amerikanischen Herstellers Consolidated Aircraft, der im Zweiten Weltkrieg von der US Navy eingesetzt wurde.	<arg1> Consolidated PB2Y </arg1> <rel> Hersteller </rel> <arg2> Consolidated Aircraft </arg2>
Die Resolution 670 des UN-Sicherheitsrates ist eine Resolution, die der Sicherheitsrat der Vereinten Nationen in seiner 2943. Sitzung am 25. September 1990 mit einer Gegenstimme beschloss.	<arg1> Resolution 670 des UN-Sicherheitsrates </arg1> <rel> Sitzung </rel> <arg2> 2943 </arg2>
Sucre FC nahm nur an der Spielzeit Categoría Primera B 2012 teil und konnte in der Hinserie direkt den vierten Platz belegen und schaffte den Einzug in die Finalrunde.	<arg1> Sucre FC </arg1> <rel> Spielzeit </rel> <arg2> 2012 </arg2>
Die Rugby-Union-Europameisterschaft der Männer, offiziell Rugby Europe International Championships, ist ein vom europäischen Verband Rugby Europe ausgetragenes Rugby-Union-Turnier für Nationalmannschaften, bei dem jährlich der Europameister ermittelt wird.	<arg1> Rugby-Union-Europameisterschaft </arg1> <rel> Verband </rel> <arg2> Rugby Europe </arg2>
Das Modul Nauka (, „Wissenschaft“) mit der ursprünglichen Bezeichnung Mnogozelewoi laboratorny modul (MLM, russisch  - , englisch Multipurpose Laboratory Module, deutsche Übersetzung Mehrzweck-Forschungsmodul), ist ein Forschungsmodul für die Internationale Raumstation (ISS), das zurzeit bei RKK Energija und GKNPZ Chrunitschew im Auftrag von Roskosmos gebaut wird.	<arg1> Nauka </arg1> <rel> Raumstation </rel> <arg2> Internationale Raumstation </arg2>
Nachdem Mecklenburg-Schwerin mit Mecklenburg-Strelitz 1934 zu einem Land Mecklenburg vereinigt worden war, wurde 1939 die Bezeichnung des Kreises in Landkreis Güstrow geändert.	<arg1> Landkreis Güstrow </arg1> <rel> Bezeichnung </rel> <arg2> Güstrow </arg2>
Sami Aittokallio begann seine Karriere bei Tampereen Ilves in seiner Geburtsstadt.	<arg1> Sami Aittokallio </arg1> <rel> Geburtsstadt </rel> <arg2> Tampere </arg2>
Die Dremelspitze besitzt durch ihre bis 400 Meter hohen Felswände aus Hauptdolomit eine große geografische Dominanz, was sie zu einem beliebten Aussichtsberg für Touren von den nahegelegenen Hütten macht.	<arg1> Dremelspitze </arg1> <rel> Fels </rel> <arg2> Hauptdolomit </arg2>
WindStation ist auf Englisch und Deutsch verfügbar.	<arg1> WindStation </arg1> <rel> Deutsch </rel> <arg2> und </arg2>
Der Zug verkehrt aber oft auf anderen Destinationen und benutzt auch nicht auf seiner Reise nach Istanbul den Laufweg des Simplon-Orient-Express.	<arg1> Simplon-Orient-Express </arg1> <rel> Destination </rel> <arg2> Istanbul </arg2>
Das Commonwealth Bank Tournament of Champions 2010 (auch als International Tournament of Champions bekannt) war ein Damentennis-Einladungsturnier das als Einzelbewerb in der Halle auf Hartplatz ausgetragen wurde und Teil der WTA Tour 2010 war.	<arg1> Commonwealth Bank Tournament of Champions 2010 </arg1> <rel> Tour </rel> <arg2> WTA </arg2>
Sidirokastro ( []  ‚Eisenburg‘) ist eine Kleinstadt im Regionalbezirk Serres in der nordgriechischen Region Zentralmakedonien.	<arg1> Sidirokastro </arg1> <rel> Region </rel> <arg2> Zentralmakedonien </arg2>
Sidirokastro ( []  ‚Eisenburg‘) ist eine Kleinstadt im Regionalbezirk Serres in der nordgriechischen Region Zentralmakedonien.	<arg1> Sidirokastro </arg1> <rel> Regionalbezirk </rel> <arg2> Serres </arg2>
Mars Lasar und Iwan Schapowalow verfassten den Liedtext zu Ne wer, ne boisja, während Waleri Poljenko die Musik komponierte.	<arg1> Ne wer, ne boisja </arg1> <rel> Musik </rel> <arg2> Waleri Poljenko </arg2>
Mars Lasar und Iwan Schapowalow verfassten den Liedtext zu Ne wer, ne boisja, während Waleri Poljenko die Musik komponierte.	<arg1> Ne wer, ne boisja </arg1> <rel> Lied </rel> <arg2> Ne wer </arg2>
Mars Lasar und Iwan Schapowalow verfassten den Liedtext zu Ne wer, ne boisja, während Waleri Poljenko die Musik komponierte.	<arg1> Ne wer, ne boisja </arg1> <rel> Lied </rel> <arg2> ne boisja </arg2>
Mars Lasar und Iwan Schapowalow verfassten den Liedtext zu Ne wer, ne boisja, während Waleri Poljenko die Musik komponierte.	<arg1> Ne wer, ne boisja </arg1> <rel> Liedtext </rel> <arg2> Mars Lasar </arg2>
Die Fußball-Ozeanienmeisterschaft 2008 () war die achte Ausspielung der ozeanischen Kontinentalmeisterschaft im Fußball und fand vom 17. Oktober 2007 bis 19. November 2008 statt.	<arg1> Fußball-Ozeanienmeisterschaft 2008 </arg1> <rel> Kontinent </rel> <arg2> Ozeanien </arg2>
Météo-France hatte bis etwa in das Jahr 2010 seinen Hauptsitz in Paris unter der Adresse 1 quai Branly im 7. Arrondissement, verlegte diesen jedoch im Zuge des Verkaufs der Liegenschaft durch den französischen Staat und dem folgenden Abriss in die Banlieue nach Saint-Mandé im Département Val-de-Marne.	<arg1> Météo-France </arg1> <rel> Hauptsitz </rel> <arg2> Saint-Mandé </arg2>
Seit 1967 besitzt Ust-Kuiga den Status einer Siedlung städtischen Typs.	<arg1> Ust-Kuiga </arg1> <rel> Status </rel> <arg2> Siedlung städtischen Typs </arg2>
Heute gehört Knis-Podewsie zur Evangelisch-Augsburgischen Pfarrgemeinde in Ryn bzw. zur dortigen katholischen Pfarrkirche Unbefleckte Empfängnis Mariä.	<arg1> Knis-Podewsie </arg1> <rel> Pfarrgemeinde </rel> <arg2> Ryn </arg2>
Die Gespanschaft Šibenik-Knin ist in 5 Städte und 15 Gemeinden gegliedert.	<arg1> Gespanschaft Šibenik-Knin </arg1> <rel> Städte </rel> <arg2> 5 </arg2>
Die Gespanschaft Šibenik-Knin ist in 5 Städte und 15 Gemeinden gegliedert.	<arg1> Gespanschaft Šibenik-Knin </arg1> <rel> Gemeinden </rel> <arg2> 15 </arg2>
Die Entwicklung von Dear Esther begann 2008 als Half-Life 2-Mod in der Source Engine.	<arg1> Dear Esther </arg1> <rel> Engine </rel> <arg2> Source Engine </arg2>
Hakupu liegt im historischen Stammesgebiet Tafiti im Süden der Insel.	<arg1> Hakupu </arg1> <rel> Stammesgebiet </rel> <arg2> S </arg2>
Gloomy Boyz ist eine deutsche Hip-Hop-Formation, die erstmals 2015 in Erscheinung getreten ist.	<arg1> Gloomy Boyz </arg1> <rel> Format </rel> <arg2> Hip-Hop </arg2>
Der SV Eintracht Wald-Michelbach trägt seine Heimspiele auf dem 3000 Zuschauer fassenden Sportplatz Rudi-Wünzer-Straße aus.	<arg1> Eintracht Wald-Michelbach </arg1> <rel> Sportplatz </rel> <arg2> Sportplatz Rudi-Wünzer-Straße </arg2>
Auf europäischer Ebene sind die Liberal Democrats Mitglied der Europapartei Allianz der Liberalen und Demokraten für Europa.	<arg1> Liberal Democrats </arg1> <rel> Europa </rel> <arg2> Allianz der Liberalen und Demokraten für Europa </arg2>
Das Maskottchen des Rhodes College ist der Luchs, die Farben Schwarz und Rot.	<arg1> Rhodes College </arg1> <rel> Maskottchen </rel> <arg2> Luchs </arg2>
Der Distrikt Pauri Garhwal liegt in der Division Garhwal im Westen von Uttarakhand im Vorderen Himalaya und umfasst außerdem noch die äußerste Siwalikkette am Rande der Gangesebene.	<arg1> Pauri Garhwal </arg1> <rel> Division </rel> <arg2> Garhwal </arg2>
Am 3. Mai 1945 besetzten britischen Truppen auch Reinbek, das benachbarte Glinde sowie den letzten Teil des noch unbesetzten Stormarns.	<arg1> Reinbek </arg1> <rel> Trupp </rel> <arg2> Stormarn </arg2>
Das Milaneo ist über die Stadtbahn-Haltestellen Budapester Platz und Stadtbibliothek (ehemals Türlenstraße) erreichbar.	<arg1> Milaneo </arg1> <rel> Haltestellen </rel> <arg2> Stadtbibliothek </arg2>
Das Milaneo ist über die Stadtbahn-Haltestellen Budapester Platz und Stadtbibliothek (ehemals Türlenstraße) erreichbar.	<arg1> Milaneo </arg1> <rel> Haltestellen </rel> <arg2> Budapester Platz </arg2>
Die GCC Champions League (Gulf Cooperation Council Champions League), bis 2010 bekannt unter der Bezeichnung Gulf Cup for Clubs, deutsch Golf-Vereinspokal, ist ein seit 1982 mit wenigen Ausnahmen jährlich ausgetragener Fußballwettbewerb für Vereinsmannschaften der sechs arabischen Mitglieder des Golf-Kooperationsrats (Cooperation Council for the Arab States of the Gulf oder Gulf Cooperation Council – GCC) Bahrain, Katar, Kuwait, Oman, Saudi-Arabien und den Vereinigten Arabischen Emiraten der von der Union of Arab Football Associations (UAFA) organisiert wird.	<arg1> GCC Champions League </arg1> <rel> Union </rel> <arg2> Union of Arab Football Associations </arg2>
Gössenberg liegt im Ennstal in den Schladminger Tauern (Gerichtsbezirk Schladming).	<arg1> Gössenberg </arg1> <rel> Gerichtsbezirk </rel> <arg2> Schladming </arg2>
Bei der Volkszählung 2010 hatte Chinle 4518 Einwohner, eine Schätzung aus dem Jahr 2017 geht von 5698 Bewohnern aus.	<arg1> Chinle </arg1> <rel> Bewohner </rel> <arg2> 5698 </arg2>
Die Boltzmann-Konstante (Formelzeichen  oder ) ist eine Naturkonstante, die in der statistischen Mechanik eine zentrale Rolle spielt.	<arg1> Boltzmann-Konstante </arg1> <rel> Formelzeichen </rel> <arg2> oder </arg2>
Seit 1996 führt der „BuchVerlag für die Frau“ die Sparte Buchproduktion fort, bringt die bekanntesten Buchtitel bis heute in jährlich aktualisierten Neuauflagen heraus.	<arg1> Verlag für die Frau </arg1> <rel> Sparte </rel> <arg2> Verlag </arg2>
In der Ernst-August-Galerie mit rund 30.000 Quadratmetern Verkaufsfläche befinden sich etwa 150 Geschäfte auf drei Ebenen.	<arg1> Ernst-August-Galerie </arg1> <rel> Verkaufsfläche </rel> <arg2> 30.000 </arg2>
In der Ernst-August-Galerie mit rund 30.000 Quadratmetern Verkaufsfläche befinden sich etwa 150 Geschäfte auf drei Ebenen.	<arg1> Ernst-August-Galerie </arg1> <rel> Geschäfte </rel> <arg2> 150 </arg2>
Die heutige Schreibweise des Stadtnamens existiert in dieser Weise seit 1822, als man die Stadtnamen von Burkersdorf und Burgstädt klarer voneinander unterschied.	<arg1> Burgstädt </arg1> <rel> Weise </rel> <arg2> Stadt </arg2>
Ole Bischof (* 27. August 1979 in Reutlingen) ist ein ehemaliger deutscher Judoka, der bei den Olympischen Spielen 2008 in Peking Olympiasieger in der Gewichtsklasse bis 81 kg wurde.	<arg1> Ole Bischof </arg1> <rel> Gewicht </rel> <arg2> 81 </arg2>
 Am 28. November 1975 erklärte Osttimor seine Unabhängigkeit von Portugal.	<arg1> Osttimor </arg1> <rel> Unabhängigkeit </rel> <arg2> 28. November 1975 </arg2>
Der Kanal wurde daher geteilt in den Canal de Fos à Port-de-Bouc und den Canal d’Arles à Fos.	<arg1> Canal d’Arles à Fos </arg1> <rel> Port </rel> <arg2> Arles </arg2>
Dabei wurde der bestehende Mündungsabschnitt in den Hafen von Fos-sur-Mer dem neuen Kanal zugeschlagen und an der Einmündungsstelle eine Salzwassersperre errichtet, die den Canal d’Arles à Fos zu einer Sackgasse für die Schifffahrt werden ließ.	<arg1> Canal d’Arles à Fos </arg1> <rel> Hafen </rel> <arg2> Arles </arg2>
Joe Gibbs Racing, auch bekannt unter der Abkürzung JGR, ist eine Gruppe von NASCAR-Teams, die von Joe Gibbs gegründet wurden und der auch deren Besitzer ist.	<arg1> Joe Gibbs Racing </arg1> <rel> Besitzer </rel> <arg2> Joe Gibbs </arg2>
Martin Abadir (* 19. Juni 1981 in Oleśnica) ist ein aus Polen stammender Handballspieler mit österreichischer Staatsbürgerschaft.	<arg1> Martin Abadir </arg1> <rel> Staatsbürgerschaft </rel> <arg2>  österreichisch </arg2>
Die zentrale Zone der hybriden Sonnenfinsternis vom 17. April 1912 erstreckte sich über das nördliche Südamerika, Europa und Asien, sowie den Atlantik.	<arg1> Sonnenfinsternis vom 17. April 1912 </arg1> <rel> Zone </rel> <arg2> Europa </arg2>
Die Katastralgemeinde Galling gehörte ab 1850 zum politischen Bezirk Sankt Veit an der Glan und zum Gerichtsbezirk Sankt Veit an der Glan.	<arg1> Katastralgemeinde Galling </arg1> <rel> Bezirk </rel> <arg2> Sankt Veit an der Glan </arg2>
Die Katastralgemeinde Galling gehörte ab 1850 zum politischen Bezirk Sankt Veit an der Glan und zum Gerichtsbezirk Sankt Veit an der Glan.	<arg1> Katastralgemeinde Galling </arg1> <rel> Gerichtsbezirk </rel> <arg2> Sankt Veit an der Glan </arg2>
Die Katastralgemeinde Galling gehörte ab 1850 zum politischen Bezirk Sankt Veit an der Glan und zum Gerichtsbezirk Sankt Veit an der Glan.	<arg1> Katastralgemeinde Galling </arg1> <rel> Katastralgemeinde </rel> <arg2> Galling </arg2>
Die World Triathlon Corporation (WTC), heute eine Tochtergesellschaft der chinesischen Wanda Group, hat 2009 den bisherigen Organisator des Ironman Wisconsin North American Sports (NA Sports) aufgekauft.	<arg1> Ironman Wisconsin </arg1> <rel> Organisator </rel> <arg2> World Triathlon Corporation </arg2>
Zur Abgrenzung davon wird für die Bestrahlungsstärke oft auch das Formelzeichen Ee verwendet, wobei der Index „e“ besagt, dass die Bestrahlungsstärke eine rein energetische, d. h. objektive Messgröße ist.	<arg1> Bestrahlungsstärke </arg1> <rel> Formelzeichen </rel> <arg2> , </arg2>
Die neue Anstalt öffentlichen Rechts nach dem Treuhandgesetz konstituierte sich am 16. Juli 1990 und übernahm von der „Anstalt zur treuhänderischen Verwaltung des Volkseigentums“ als neuer Eigentümer zum Stichtag 1. Juli 1990 (Inkrafttreten des Gesetzes) die etwa 8.500 ehemals volkseigenen Betriebe des Registers der volkseigenen Wirtschaft, die aufgrund des Statuts vom 1. März 1990 in Treuhandverwaltung überführt worden waren.	<arg1> Treuhandgesetz </arg1> <rel> Inkrafttreten </rel> <arg2> 1. Juli 1990 </arg2>
Das Bistum Plymouth umfasst die Grafschaften Cornwall, Devon und Teile von Dorset und ist in die 5 Dekanate Cornwall, Dorset, Exeter, Plymouth und Torbay aufgeteilt.	<arg1> Bistum Plymouth </arg1> <rel> Dekanate </rel> <arg2> 5 </arg2>
Wo die wilden Kerle wohnen (englischer Originaltitel: Where the Wild Things Are) ist ein erstmals 1963 von Harper & Row veröffentlichtes Kinder- und Bilderbuch des US-amerikanischen Autors und Illustrators Maurice Sendak.	<arg1> Wo die wilden Kerle wohnen </arg1> <rel> Originaltitel </rel> <arg2> Where the Wild Things Are </arg2>
Wo die wilden Kerle wohnen (englischer Originaltitel: Where the Wild Things Are) ist ein erstmals 1963 von Harper & Row veröffentlichtes Kinder- und Bilderbuch des US-amerikanischen Autors und Illustrators Maurice Sendak.	<arg1> Wo die wilden Kerle wohnen </arg1> <rel> Autor </rel> <arg2> Maurice Sendak </arg2>
Wo die wilden Kerle wohnen (englischer Originaltitel: Where the Wild Things Are) ist ein erstmals 1963 von Harper & Row veröffentlichtes Kinder- und Bilderbuch des US-amerikanischen Autors und Illustrators Maurice Sendak.	<arg1> Wo die wilden Kerle wohnen </arg1> <rel> Illustrator </rel> <arg2> Maurice Sendak </arg2>
Der Steinbeckforst ist ein Naturschutzgebiet im niedersächsischen Flecken Harsefeld in der Samtgemeinde Harsefeld im Landkreis Stade.	<arg1> Steinbeckforst </arg1> <rel> Fleck </rel> <arg2> Landkreis Stade </arg2>
Waldhufen ist eine sächsische Gemeinde im Landkreis Görlitz, die dem Verwaltungsverband Diehsa angehört.	<arg1> Waldhufen </arg1> <rel> Landkreis </rel> <arg2> Görlitz </arg2>
Waldhufen ist eine sächsische Gemeinde im Landkreis Görlitz, die dem Verwaltungsverband Diehsa angehört.	<arg1> Waldhufen </arg1> <rel> Verwaltungsverband </rel> <arg2> Diehsa </arg2>
